#PROJECT:HANDLER   , LOCAL-DIRECTORY , REMOTE-REPOSITORY                                             , HASH-VERSION, LICENSE    , NAME, BRIEF, DESCRIPTION

sd-webui           , sd-webui        , https://github.com/AUTOMATIC1111/stable-diffusion-webui.git   , v1.10.1     , AGPL-3.0   , Stable Diffusion WebUI, Browser interface for Stable Diffusion, Stable Diffusion web UI is a browser interface for Stable Diffusion based on Gradio library.
forge              , sd-webui-forge  , https://github.com/lllyasviel/stable-diffusion-webui-forge.git, db6448df744a, AGPL-3.0   , Stable Diffusion WebUI Forge, Enhance the standard Stable Diffusion WebUI, Enhance the standard WebUI to simplify development while optimizing resource management and accelerating inference time.
comfyui            , comfyui         , https://github.com/comfyanonymous/ComfyUI.git                 , 203942c8b29d, GPL-3.0    , ComfyUI, Powerful and modular stable diffusion GUI and backend, This UI will let you design and execute advanced stable diffusion pipelines using a graph/nodes/flowchart based interface.
comfystable:comfyui, comfyui_stable  , https://github.com/comfyanonymous/ComfyUI.git                 , v0.2.2      , GPL-3.0    , ComfyUI Stable, The latest stable version of ComfyUI, This UI will let you design and execute advanced stable diffusion pipelines using a graph/nodes/flowchart based interface.
invoke             , invoke-ai       , https://github.com/invoke-ai/InvokeAI.git                     , v4.2.8      , Apache-2.0 , InvokeAI, Leading creative engine for stable diffusion models, InvokeAI empowers professionals artists and enthusiasts to generate visual media using AI-driven technologies.
#fooocus           , fooocus         , https://github.com/lllyasviel/Fooocus.git                     , v2.5.5      , GPL-3.0    , Fooocus, Focus on prompting and generating, Fooocus has included and automated lots of inner optimizations and quality improvements. Users can forget all those difficult technical parameters and just enjoy the interaction between human and computer.

open-webui         , open-webui      , https://github.com/open-webui/open-webui.git                  , v0.3.32     , MIT license, Open WebUI, User-friendly AI Interface (Supports Ollama/OpenAI API/...), An extensible and user-friendly self-hosted WebUI designed to operate entirely offline. It supports various LLM runners including Ollama and OpenAI-compatible APIs.
ollama             , ollama          , https://github.com/ollama/ollama.git                          , v0.3.12     , MIT license, Ollama, Lets you run various open source LLMs locally, It is a command-line interface (CLI) tool that lets you conveniently download LLMs and run it locally and privately.
#llamacpp          , llamacpp        , https://github.com/ggerganov/llama.cpp.git                    , b3604       , MIT license, llama.cpp, LLM inference in C/C++, The main goal of llama.cpp is to enable LLM inference with minimal setup and state-of-the-art performance on a wide variety of hardware - locally and in the cloud.
#openllm           , openllm         , https://github.com/bentoml/OpenLLM.git                        , v0.6.10     , Apache-2.0 , OpenLLM, Self-Hosting LLMs made easy, OpenLLM allows developers to run any open-source LLMs (Llama 3.1, Qwen2, Phi3 and more) or custom models as OpenAI-compatible APIs with a single command.
